;PRECIPITAÇÃO TOTAL, HORÁRIO (mm);PRESSAO ATMOSFERICA AO NIVEL DA ESTACAO, HORARIA (mB);PRESSAO ATMOSFERICA AO NIVEL DA ESTACAO, HORARIA (mB);PRESSAO ATMOSFERICA AO NIVEL DA ESTACAO, HORARIA (mB);RADIACAO GLOBAL (KJ/m²);TEMPERATURA DO AR - BULBO SECO, HORARIA (°C);TEMPERATURA DO AR - BULBO SECO, HORARIA (°C);TEMPERATURA DO AR - BULBO SECO, HORARIA (°C);TEMPERATURA DO PONTO DE ORVALHO (°C);TEMPERATURA DO PONTO DE ORVALHO (°C);TEMPERATURA DO PONTO DE ORVALHO (°C);UMIDADE RELATIVA DO AR, HORARIA (%);UMIDADE RELATIVA DO AR, HORARIA (%);UMIDADE RELATIVA DO AR, HORARIA (%);VENTO, DIREÇÃO HORARIA (gr) (° (gr));VENTO, DIREÇÃO HORARIA (gr) (° (gr));VENTO, DIREÇÃO HORARIA (gr) (° (gr));VENTO, RAJADA MAXIMA (m/s);VENTO, RAJADA MAXIMA (m/s);VENTO, RAJADA MAXIMA (m/s);VENTO, VELOCIDADE HORARIA (m/s);VENTO, VELOCIDADE HORARIA (m/s);VENTO, VELOCIDADE HORARIA (m/s)
;sum;min;max;mean;mean;min;max;mean;min;max;mean;min;max;mean;min;max;mean;min;max;mean;min;max;mean
DATA (YYYY-MM-DD);;;;;;;;;;;;;;;;;;;;;;;
2008-03-17;0.0;946.0;946.0;946.0;1489.0;24.0;24.0;24.0;10.0;12.0;11.333333333333334;31.0;79.0;60.916666666666664;29.0;356.0;110.66666666666667;;;;3.0;3.0;3.0
2008-03-18;0.0;948.0;948.0;948.0;1550.5;18.0;19.0;18.666666666666668;16.0;17.0;16.5;44.0;89.0;72.20833333333333;58.0;207.0;109.20833333333333;;;;3.0;4.0;3.5
2008-03-19;0.0;945.0;946.0;945.5;2223.0;19.0;27.0;22.25;17.0;17.0;17.0;42.0;89.0;68.75;3.0;360.0;126.25;7.0;7.0;7.0;3.0;3.0;3.0
2008-03-20;0.0;944.0;946.0;944.6;1960.0;21.0;21.0;21.0;19.0;19.0;19.0;56.0;83.0;70.95833333333333;16.0;360.0;128.66666666666666;5.0;8.0;6.5;3.0;3.0;3.0
2008-03-21;0.0;945.0;945.0;945.0;2753.0;20.0;24.0;22.0;16.0;18.0;17.0;40.0;91.0;69.04166666666667;32.0;354.0;126.83333333333333;3.0;8.0;5.2;2.0;2.0;2.0
2008-03-22;0.0;941.0;943.0;942.25;2656.5;20.0;24.0;22.0;16.0;17.0;16.5;50.0;90.0;71.125;5.0;355.0;124.875;7.0;7.0;7.0;2.0;3.0;2.5
2008-03-23;0.0;946.0;946.0;946.0;263.5;18.0;19.0;18.5;17.0;17.0;17.0;79.0;93.0;87.54166666666667;120.0;165.0;144.625;4.0;8.0;5.25;2.0;3.0;2.5
2008-03-24;0.0;946.0;947.0;946.25;46.0;16.0;23.0;19.5;16.0;16.0;16.0;68.0;93.0;82.45833333333333;37.0;328.0;118.58333333333333;4.0;7.0;5.666666666666667;1.0;4.0;2.0
2008-03-25;0.0;946.0;946.0;946.0;1357.0;19.0;19.0;19.0;15.0;16.0;15.5;49.0;91.0;72.54166666666667;1.0;113.0;64.625;5.0;5.0;5.0;2.0;3.0;2.5
2008-03-26;0.0;942.0;945.0;943.25;;18.0;27.0;22.0;15.0;16.0;15.5;45.0;87.0;71.875;4.0;335.0;101.66666666666667;5.0;7.0;6.333333333333333;0.0;4.0;2.3333333333333335
2008-03-27;1.0;942.0;942.0;942.0;2023.0;18.0;23.0;20.5;15.0;17.0;16.0;40.0;94.0;72.875;38.0;340.0;125.75;3.0;16.0;7.666666666666667;3.0;3.0;3.0
2008-03-28;1.0;944.0;944.0;944.0;16.5;22.0;22.0;22.0;17.0;17.0;17.0;64.0;97.0;85.58333333333333;9.0;229.0;129.29166666666666;3.0;3.0;3.0;2.0;2.0;2.0
2008-03-29;0.0;945.0;946.0;945.6;1978.0;17.0;22.0;18.5;15.0;15.0;15.0;65.0;93.0;82.54166666666667;101.0;155.0;122.95833333333333;9.0;9.0;9.0;2.0;4.0;2.75
2008-03-30;0.0;944.0;948.0;945.6;;15.0;22.0;18.5;15.0;15.0;15.0;54.0;88.0;74.375;34.0;134.0;87.875;7.0;7.0;7.0;2.0;4.0;3.0
2008-03-31;0.0;;;;1881.0;16.0;18.0;16.666666666666668;15.0;15.0;15.0;66.0;86.0;77.33333333333333;21.0;333.0;116.16666666666667;12.0;12.0;12.0;1.0;7.0;4.0
2008-04-01;0.0;940.0;942.0;941.3333333333334;;18.0;23.0;20.5;16.0;16.0;16.0;57.0;90.0;76.83333333333333;13.0;327.0;142.0;7.0;9.0;7.666666666666667;4.0;4.0;4.0
2008-04-02;0.0;939.0;941.0;940.0;;17.0;24.0;20.5;13.0;16.0;14.666666666666666;50.0;97.0;78.08333333333333;14.0;298.0;147.95833333333334;2.0;2.0;2.0;4.0;4.0;4.0
2008-04-03;0.0;941.0;943.0;942.3333333333334;;13.0;17.0;14.666666666666666;11.0;13.0;12.333333333333334;56.0;94.0;79.875;156.0;260.0;218.75;2.0;2.0;2.0;2.0;3.0;2.3333333333333335
2008-04-04;0.0;943.0;944.0;943.5;791.0;12.0;21.0;15.25;12.0;12.0;12.0;47.0;99.0;74.29166666666667;30.0;303.0;164.16666666666666;4.0;5.0;4.5;1.0;3.0;2.0
2008-04-05;0.0;945.0;945.0;945.0;;11.0;21.0;14.2;9.0;9.0;9.0;42.0;89.0;68.875;27.0;329.0;132.83333333333334;4.0;5.0;4.333333333333333;1.0;3.0;2.0
2008-04-06;0.0;940.0;942.0;941.0;2756.0;13.0;27.0;19.333333333333332;11.0;13.0;11.666666666666666;35.0;89.0;63.25;1.0;344.0;130.33333333333334;5.0;9.0;6.25;2.0;4.0;3.0
2008-04-07;0.0;942.0;943.0;942.5;1971.0;26.0;26.0;26.0;14.0;14.0;14.0;30.0;85.0;60.916666666666664;16.0;352.0;143.29166666666666;6.0;6.0;6.0;2.0;3.0;2.5
